year,date,category,country,city,event,line
"1969","11 января. суббота","ussr","СССР","Барвиха","departure","В 2QJO Л.И. выехал из «Завидово» и в 22ш прибыл в « Барвиху», в 23.1.0 выехал из «Барвихи»на квартиру."
"1969","13 января. понедельник","ussr","СССР","Барвиха","stay","Л. И. находился в санатории «Барвиха»."
"1969","24 января. пятница","ussr","СССР","Завидово","departure","В 113!! Л.И. выехал в Завидово."
"1969","28 января, вторник","ussr","СССР","Барвиха","stay","Л.И. находился в санатории «Барвиха>>."
"1969","31 января. nятница","ussr","СССР","Завидово","departure","В 12;ш ч. выехал в «Завидово>>."
"1969","3 февраля. nонедельник","ussr","СССР","Барвиха","stay","Л.И. находился в санатории «Барвиха>>. Переговорил по телефону с тт. ПолянскимД.С.,"
"1969","5 февраля. среда","ussr","СССР","Барвиха","stay","Л.И. находился в санатории «Барвиха», несколько раз звонил в nриемную, nереговорил по телефону сп. Черненко К. У., Кулаковым Ф.Д. Л.И. наnравлено 2 nа кета с до"
"1969","7 февраля. nятница","ussr","СССР","Завидово","departure","В 1200 Л.И. выехал в «Завидово» для ведения nереговоров с т. Я. Кадаром."
"1969","11 февраля, вторник","ussr","СССР","Барвиха","stay","Л.И. находился в санатории «Барвиха», туда ему наnравлен nакет с ш[ифр]телегр[аммами] и сводки ТАСС."
"1969","14 февраля, nятница","ussr","СССР","Завидово","departure","В 1300 Л.И. выехал в «Завидово»."
"1969","14 марта. пятница","foreign","Венгрия",None,"departure","В 1800 Л.И. во главе nартийно-nравительственной делегации сnецпоездом отбыл с Киевского вокзала в Венгрию на совещание ПКК."
"1969","21 марта. nятница","ussr","СССР","Завидово","departure","В lб;ш ч. Л.И. выехал в «Завидово»."
"1969","3 апреля. четверг","ussr","СССР","Завидово","departure","В 15illi Л.И. уехал в «Завидово>>."
"1969","17 апреля. четверг","ussr","СССР","Завидово","departure","В 191!1 Л.И. выехал в «Завидово»."
"1969","10 мая. суббота","ussr","СССР","Заречье","stay","Л.И. находился на даче в Заречье."
"1969","16 мая. пятница","ussr","СССР","Завидово","departure","Уехал Л.И. в 22;ш в «Завидово» для работы над документами, предстоящего междун[ а родного] совещания комм[унистических] и раб[ очих] партий в Москве."
"1969","31 мая. суббота","ussr","СССР","Заречье","stay","Л.И. работал наддокументами у себя на даче в «Заречье»."
"1969","19 июня. четверг","ussr","СССР","Завидово","departure","Л.И. уехал в 181!1 в «Завидово»."
"1969","29 июня. воскресенье","ussr","СССР","Заречье","departure","В 13UЛ.И. выехал на дачу в «Заречье»."
"1969","29 июня. воскресенье","ussr","СССР","Днепропетровск","departure","В 1600 Л. И. спецпоездом отбыл в гор. Днепропетровск."
"1969","5 июля. суббота","ussr","СССР","Завидово","departure","В 1800 Л.И. выехал в «Завидово»."
"1969","15 июля. вторник","ussr","СССР","Заречье","stay","С утра Л.И. работал наддокументами (на даче в «Заречье»)."
"1969","21 июля. понедельник","foreign","Польша",None,"departure","В goo Л.И. самолетом вылетел в Польшу на празднование 25IИлетия Народной Польши."
"1969","25 июля. nятница","ussr","СССР","Завидово","departure","В 18:;u Л.И. выехал в «Завидово»."
"1969","29 июля. вторник","ussr","СССР","Крым","departure","В 1500Л.И. самолетом с аэроnорта «Внуково-2» отбыл в Крым на отдых."
"1969","1 августа. пятница","ussr","СССР","Ялта","stay","Л.И. находился на отдыхе в Ялте. Днем Л.И. звонил в nриемную."
"1969","15 августа. nятница","ussr","СССР","Крым","stay","Л.И. находился на отдыхе в Крыму (Ялта)."
"1969","16 августа. суббота","ussr","СССР","Ялта","stay","Л.И. находился на отдыхе в Ялте."
"1969","29 августа. nятница","ussr","СССР","Симферополь","departure","Л.И. выехал в 8!!1! из ЯJJты в Симфероnоль, а оттуда в 1 ооо самолетом отбыл в Астрахюн,."
"1969","29 августа. nятница","ussr","СССР","Астрахань","departure","Л.И. выехал в 8!!1! из ЯJJты в Симфероnоль, а оттуда в 1 ооо самолетом отбыл в Астрахюн,."
"1969","1 сентября. nонедельник","ussr","СССР","Ялта","stay","Л. И. находился в Ялте на отдыхе."
"1969","4 сентября. четверг","ussr","СССР","Симферополь","departure","Л.И. в 14~ самолетом отбыл из Симферополя в Москву. В JI)Q!i Л.И. nрибыл во Внуково-2."
"1969","5 сентября. nятница","ussr","СССР","Завидово","departure","В J32i! Л.И. выехал в Завидово."
"1969","19 сентября. пятница","ussr","СССР","Завидово","departure","В 172!1 ч. Л.И. выехал в Завндово."
"1969","1 октября. среда","ussr","СССР","Заречье","stay","В 20:1.0 Jl.И. возвратился на дачу «Заречье»."
"1969","4 октября. суббота","foreign","ГДР","Берлин","stay","Л.И. находился в пути в г. Берлин на торжества по случаю 20-летия ГДР"
"1969","9 октября. четверг","ussr","СССР","Заречье","departure","В 143!! Л. И. выехал в Заречье на дачу."
"1969","11 октября, суббота","ussr","СССР","Завидово","departure","В 151дЛ.И. выехал в «Завидово»."
"1969","12 октября. воскресенье","ussr","СССР","Заречье","stay","В 1300 Л.И. возвратился из «Завидово» на дачу в «Заречье». Звонил в Приемную, nросил nозвонить ему тт. Александрова А. М., Громыко А.А., Русакова К. В."
"1969","15 октября. среда","ussr","СССР","Заречье","stay","Л.И. находился на даче в Заречье."
"1969","22 октября. среда","ussr","СССР","Байконур","departure","17iillJI.И. выехал в аэроnорт Внуково-2, 182!! отбыл самолетом в Байконур."
"1969","24 октября. nятница","ussr","СССР","Заречье","departure","Уехал Л.И. 173JJ. в «Заречье»."
"1969","25 октября. суббота","ussr","СССР","Завидово","departure","В 15JJ!.Л.И. выехал в «Завидово»."
"1969","26 октября. воскресенье","ussr","СССР","Заречье","stay","Л.И. в 13iill возвратился из «Завидово» в «Заречье»."
"1969","27 октября. nонедельник","ussr","СССР","Заречье","stay","В 200!.! Л.И. возвратился в «Заречье»."
"1969","28 октября. вторник","foreign","Чехословакия",None,"departure","Утром Л.И. вместе с тт. Косыгиным А.Н. и Подгорным Н.В. из резиденции, где располагалась Парт[ийно ]-государств[ енная] делегация ЧССР во главе с т. r Гусаком, "
"1969","28 октября. вторник","ussr","СССР","Заречье","departure","Уехал Л. И. в 173!1 в «Заречье»."
"1969","5 ноября. среда","ussr","СССР","Завидово","departure","Уехал Л.И. в 1500 в «Завндово»."
"1969","6 ноября, четверг","ussr","СССР","Заречье","departure","В 121Q ч. Л.И. выехал на дачу в Заречье."
"1969","7 ноября. пятница","ussr","СССР","Завидово","departure","В 172!! Л.И. выехал в «Завидово»."
"1969","8 ноября. суббота","ussr","СССР","Заречье","stay","В 232!! ч. Л.И. возвратился из «Завидово» в «Заречье»."
"1969","14 ноября. nятница","ussr","СССР","Завидово","departure","В 1 &Ш ч. Л.И. с группой товарищей выехал в Завидово для подготовки к 111 съезду колхозников."
"1969","28 ноября. пятница","ussr","СССР","Завидово","departure","Уехал Л. И. 1~ в «Завидово»."
"1969","23 декабря. вторник","ussr","СССР","Заречье","stay","Л.И. находился на даче в «Заречье»."
"1969","27 декабря. <.:Уббота","ussr","СССР","Завидово","departure","В 1210 Л.И. выехал в «Завидово»."
"1970","2 января","ussr","СССР","Завидово","departure","В 1 !ЗDЛ.И. выехал с кв[артиры] в «Завидово»."
"1970","13 января","ussr","СССР","Барвиха","stay","Л.И. находился в «Барвихе», звонил в Приемную. Направлен Л.И. пакет с документами."
"1970","18 января","ussr","СССР","Завидово","departure","Уехал Л.И. 151!! в «Завидово»."
"1970","20 января","ussr","СССР","Барвиха","stay","Л.И. находился в «Барвихе»."
"1970","31 января","ussr","СССР","Завидово","departure","В 12ооч. Л.И. из Барвихи выехал в Завидово."
"1970","2 февраля","ussr","СССР","Барвиха","stay","Л.И. находился в Барвихе."
"1970","6 февраля","ussr","СССР","Завидово","departure","В 12~Л.И. выехал в Завидово."
"1970","9 февраля","ussr","СССР","Барвиха","stay","Л. И. находился в «Барвихе»."
"1970","9 февраля","foreign","Чехословакия","Прага","stay","В J85!! из Праги звонил т. Червоненко С. В. -просил передать, что т. Гусак ГН. • возвратился в Прагу."
"1970","11 февраля","ussr","СССР","Барвиха","stay","Л.И. находился в «Барвихе», куда ему направлено два пакета с документ[ами]."
"1970","13 февраля","ussr","СССР","Завидово","departure","В 14w выехал в «Завидово»."
"1970","21 февраля","ussr","СССР","Заречье","stay","В lбООЛ.И. выезжал на дачу в «Заречье»."
"1970","24 февраля","ussr","СССР","Завидово","departure","В 111!! выехал в Шереметьева и совместно с тт. Косыгиным А. Н., Подгорным Н.В. встречал У.К. Кекконена. В 1300 из Шереметьева выехали в Завидово."
"1970","25 февраля","ussr","СССР","Завидово","stay","Л.И. находился в Завидово."
"1970","28 февраля","ussr","СССР","Заречье","stay","Л.И. находился на даче Заречье."
"1970","8 марта","ussr","СССР","Завидово","stay","Л.И. с груnnой товарищей находился в Завидово. Работали над проектом речи к 1 00-летию"
"1970","14 марта","ussr","СССР","Минск","stay","Л.И. находился в г. Минске."
"1970","17 марта","ussr","СССР","Заречье","departure","Уехал Л.И. в 21l<i в «Заречье>>."
"1970","18 марта","ussr","СССР","Завидово","departure","В 1500 ч. Л.И. выехал в Завидово."
"1970","22 марта","ussr","СССР","Заречье","departure","В 1 &11 прибыл на дачу в «Заречье» 6; направлен пакет с ш[ ифр"
"1970","1 апреля","foreign","Венгрия","Будапешт","departure","В g.~д ч. выехал на Киевский вокзал и во главе с советской партийной делегации выехал в Будапешт."
"1970","1 апреля","ussr","СССР","Киев","departure","В g.~д ч. выехал на Киевский вокзал и во главе с советской партийной делегации выехал в Будапешт."
"1970","1 апреля","foreign","Венгрия","Будапешт","stay","Л.И. находился в поезде на nути в г. Будаnешт ВНР"
"1970","10 апреля","ussr","СССР","Заречье","stay","Л.И. находился на даче в «Заречье», несколько раз звонил в Приемную, переговорил по телефону с тт. Кириленко АЛ., Катушевым К.Ф., Черненко К. У., Русаковым К. В"
"1970","12 апреля","ussr","СССР","Киев","stay","Л.И. работал над речами на ХТЗ и торжествеflном заседании в Харькове (на даче), переговорил по телефону с тт. Кириленко АЛ., Шелест[ ом] П.Е. (Киев), Андроповым"
"1970","12 апреля","ussr","СССР","Харьков","departure","В 1 бШ1 Л.И. выехал с дачи в аэропорт Внуково-2 и оттуда самолетом в 17!!Jl отбыл в Харьков."
"1970","14 апреля","ussr","СССР","Заречье","departure","В 8:.!!! Л.И. из <<Заречья» выехал на аэродром <<Внуково-2», оттуда в 9!Ю самолетом"
"1970","14 апреля","ussr","СССР","Завидово","departure","В 15ifi ч. выехал в Завидово."
"1970","6 мая","foreign","Чехословакия","Прага","stay","Л.И. находился в Праге, после подписания Договора с ЧССР выступил с большой речью на митинге."
"1970","8 мая","ussr","СССР","Завидово","departure","В 20!.1!!J1.И. выехал в «Завидово»."
"1970","16 мая","ussr","СССР","Заречье","stay","Л.И. работал на даче в «Заречье», nереговорил по телефону с тт. Полянеким Д. С.,"
"1970","22 мая","ussr","СССР","Завидово","departure","Уехал Л.И. I&Ш в «Завидово»."
"1970","6 июня","ussr","СССР","Завидово","departure","В 171!) Л.И. выехал в Завидово."
"1970","16 июля","ussr","СССР","Заречье","stay","Л.И. работал на даче в «Заречье» над материалами к nереговорам с Насером."
"1970","18 июля","ussr","СССР","Хабаровск","stay","В lбiJ!! на даче Л.И. nринял тт. Каnитонова И. В., Черного А. К., Подгаева Г. Е. (Хабаровск),"
"1970","24 июля","ussr","СССР","Ялта","stay","Л. И. находился в Ялте на отдыхе."
"1970","27 июля","ussr","СССР","Симферополь","departure","В 16Л Л.И. самолетом отбыл из Симфероnоля в Москву."
"1970","12 августа","ussr","СССР","Ялта","departure","В 2000 Л.И. прибыл в ЦК, 11ри11ЯJI т. KиpиJieiiKO A.fl."
"1970","14 августа","ussr","СССР","Завидово","departure","В 12;ш JI.И. выехал из ЦКБ в «Завидово»."
"1970","26 августа","ussr","СССР","Заречье","departure","В 9Ji! JI.И. выехал из <<Заречья>> в а)·:~ро)порт «Внуково-2», и в !Qllil самолетом во главе"
"1970","26 августа","ussr","СССР","Алма-Ата","departure",":1елегащш JI.И. отбыл в Алма-Ату на торжества 110 случаю 50-летия со дня образования"
"1970","1 сентября","ussr","СССР","Ашхабад","departure","В 14111 Л.И. с соnровождающими тт. самолетом отбыл из Ашхабада и в J62ti nрибыл в Душанбе."
